F1	0.904572945993667	 0.0029510066327692 	 0.326429679561152 
F2	0.898217905110826	 0.00180024907773305 	 0.714862808352368 
F3	0.969423156298017	 0.00166632182499573 	 0.303178137821073 
F4	0.841313601854536	 0.000788319959788874 	 0.687805576596068 
F5	0.0109044236448462	 0.000501383238719876 	 0.985029143396465 
F6	0.00796481390989737	 0.000398685124137679 	 0.571015109758073 
F7	0.827771351130859	 0.000361931506848519 	 0.0412561285484725 
F8	0.892253289350296	 0.000338465372810193 	 0.364121243522273 
F9	0.00384158884718486	 0.000365384647244178 	 0.0865060917437188 
F10	0.0896649962456496	 0.000306056889511382 	 0.0743425124966256 
