##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): March 22, 2017, 9:07 p.m.
## Download Date (Y/M/D): 2017/03/29
##
## Query String: ##{&quot;sort&quot;:&quot;kic&quot;,&quot;kics&quot;:[],&quot;campaign&quot;:[&quot;-2&quot;],&quot;etvlong&quot;:true,&quot;Puflag&quot;:true,&quot;etvshort&quot;:true,&quot;incat1&quot;:true,&quot;cols&quot;:[&quot;sdepth&quot;,&quot;glon&quot;,&quot;scdata&quot;,&quot;pteff&quot;,&quot;cteff&quot;,&quot;ra&quot;,&quot;bjd0&quot;,&quot;morph&quot;,&quot;glat&quot;,&quot;n&quot;,&quot;koi&quot;,&quot;pdepth&quot;,&quot;kic&quot;,&quot;lcdata&quot;,&quot;dec&quot;,&quot;koiid&quot;,&quot;keff&quot;,&quot;p&quot;,&quot;sep&quot;,&quot;pwidth&quot;,&quot;swidth&quot;,&quot;figs&quot;,&quot;bjd0err&quot;,&quot;perr&quot;,&quot;kmag&quot;],&quot;kois&quot;:[]}
##
KIC,KOI,Mult,period,period_err,bjd0,bjd0_err,pdepth,sdepth,pwidth,swidth,sep,morph,RA,DEC,GLon,GLat,kmag,Teff,Teff(Pinsonneault),Teff(Casagrande),KOI,SC,
7943602,-1,1,14.6920163,0.0000506,54967.665197,0.147125,0.0207,0.0071,0.0642,0.0680,0.4994,0.46,284.5936,43.7604,73.8403,17.2133,13.9880,4889.0000,5176.0000,4954.0000,False,False,
8197406,5486,1,2.5130061,0.0000039,55019.208811,0.139941,0.0040,-1.0000,0.2386,-1.0000,1.0000,0.96,300.9419,44.0237,79.4306,6.7918,12.5720,6736.0000,7019.0000,-9999.0000,True,False,
8197761,6175,1,19.7384500,0.0000765,55011.448889,0.147568,0.0049,-1.0000,0.0075,-1.0000,1.0000,0.07,301.0388,44.0711,79.5081,6.7573,10.6560,7068.0000,-9999.0000,7079.0000,True,True,
8242681,1065,1,4.0206290,0.0000079,54966.637566,0.029408,0.0209,-1.0000,0.0410,-1.0000,1.0000,0.30,295.0393,44.1911,77.4567,10.5570,15.4720,5961.0000,6186.0000,5856.0000,True,False,
8365739,3722,1,2.3892922,0.0000037,54976.979013,0.028860,0.0163,-1.0000,0.0760,-1.0000,1.0000,0.49,291.8875,44.3456,76.5608,12.6418,15.3660,5402.0000,5597.0000,6067.0000,True,False,
8719324,3716,1,10.2326979,0.0000300,55003.805236,-1,-0.0028,-1.0000,0.0721,-1.0000,1.0000,-1.00,301.1143,44.8258,80.1840,7.1070,11.6140,-1.0000,-1.0000,-1.0000,True,False,
8736245,-1,1,5.0694815,0.0000110,54969.011910,0.032065,0.3495,0.1620,0.0368,0.0364,0.5012,0.29,283.4341,44.9897,74.7377,18.4249,13.7980,5594.0000,5878.0000,5755.0000,False,False,
8868650,-1,1,4.4473818,0.0000090,54957.950912,0.140005,0.2494,0.1183,0.1387,0.1361,0.5000,0.62,284.3976,45.1289,75.1263,17.8366,11.9390,4991.0000,5242.0000,5015.0000,False,True,
8912468,-1,1,0.0948380,0.0000000,54953.576945,0.005326,0.0041,0.0041,0.2515,0.2496,0.5029,0.98,300.1156,45.1679,80.1095,7.8882,11.7510,6194.0000,6464.0000,6839.0000,False,False,
8953257,1383,1,3.2217848,0.0000057,54965.919288,0.022012,0.0492,-1.0000,0.0389,-1.0000,1.0000,0.30,291.9206,45.2470,77.4045,13.0109,14.6010,6001.0000,6265.0000,6488.0000,True,False,
9119652,6193,1,2.2162380,0.0001952,54964.698572,0.019782,0.4177,0.2977,0.0535,0.0543,0.5027,0.43,300.9570,45.4492,80.6614,7.5274,14.3050,5097.0000,-1.0000,-1.0000,True,False,
9159301,-1,1,3.0447704,0.0000052,54956.302809,0.063278,0.4888,0.0612,0.1096,0.0977,0.5019,0.55,293.6933,45.5170,78.2142,12.0118,12.1460,7959.0000,-9999.0000,6538.0000,False,False,
9353182,-1,1,10.4762575,0.0000309,54959.051300,0.053612,0.1271,0.0118,0.0290,0.0280,0.5230,0.20,295.8544,45.8922,79.2611,10.8433,12.4210,5874.0000,6102.0000,6156.0000,False,False,
9412462,-1,1,10.1865899,0.0000300,54965.527824,0.062163,0.3059,0.2402,0.0383,0.0318,0.4875,0.28,295.1204,45.9686,79.0877,11.3306,14.8460,5350.0000,5539.0000,5586.0000,False,False,
9528420,1742,1,4.7084691,0.0000099,54967.152605,0.046816,0.0366,-1.0000,0.0550,-1.0000,1.0000,0.39,292.6599,46.1595,78.4781,12.9417,14.4170,5982.0000,6221.0000,6496.0000,True,False,
9533489,3783,1,197.1500000,0.0019230,54936.003032,0.017868,0.0047,-1.0000,0.0004,-1.0000,1.0000,0.00,294.6738,46.1227,79.0821,11.6768,12.9620,-1.0000,-1.0000,-1.0000,True,True,
9592575,3565,1,2.6375751,0.0000061,55186.130893,0.036333,0.1319,-1.0000,0.0780,-1.0000,1.0000,0.46,293.6693,46.2975,78.9207,12.3759,15.9020,5436.0000,-1.0000,-1.0000,True,False,
9664215,6072,1,3.3194959,0.0000060,54964.925032,0.021571,0.0370,-1.0000,0.0362,-1.0000,1.0000,0.27,297.3596,46.3436,80.1702,10.1410,15.1010,5543.0000,5807.0000,5666.0000,True,False,
9711751,-1,1,1.7115003,0.0000023,54965.356420,0.022928,0.1590,0.0921,0.0731,0.0768,0.4998,0.49,292.4579,46.4334,78.6690,13.1865,13.7880,6429.0000,6681.0000,6538.0000,False,False,
9821078,-1,1,8.4294375,0.0000228,54965.291483,0.022997,0.4171,0.1457,0.0158,0.0144,0.4997,0.95,286.8193,46.6648,77.2680,16.8272,14.1170,4112.0000,4235.0000,4364.0000,False,True,
10295951,1154,1,6.8108248,0.0000167,54955.424427,0.062355,0.0149,-1.0000,0.0511,-1.0000,1.0000,0.36,299.1028,47.3778,81.6789,9.6108,12.6280,6998.0000,-9999.0000,6987.0000,True,True,
10422852,-1,1,1.3988897,0.0000017,54965.165889,0.025834,0.0779,-1.0000,0.0803,-1.0000,1.0000,0.56,298.0764,47.5128,81.4503,10.2812,14.8550,5877.0000,-1.0000,-1.0000,False,False,
10551346,5804,1,1.4279629,0.0000018,54964.895392,0.006649,0.0082,-1.0000,0.0259,-1.0000,1.0000,0.59,297.6191,47.7679,81.5250,10.6744,13.7310,5891.0000,6119.0000,6080.0000,True,False,
10601549,6226,1,1.4637734,0.0000018,54965.807088,0.012672,0.0658,-1.0000,0.0473,-1.0000,1.0000,0.36,292.4794,47.8346,79.9757,13.7771,13.3180,5259.0000,5567.0000,5396.0000,True,False,
10616829,-1,1,1.0729341,0.0000012,54965.293061,0.027919,0.1075,0.0324,0.1197,0.1045,0.5021,0.59,297.7424,47.8917,81.6760,10.6617,13.9600,6670.0000,7029.0000,6711.0000,False,False,
10676927,3830,1,1.0311005,0.0000033,54999.931305,0.107935,0.1658,-1.0000,0.1047,-1.0000,1.0000,0.56,296.1496,47.9378,81.2002,11.6229,17.0220,5451.0000,-1.0000,-1.0000,True,False,
10710755,6080,1,4.8166114,0.0000102,54966.762895,0.027130,0.0840,-1.0000,0.0316,-1.0000,1.0000,0.22,281.9364,48.0101,77.3988,20.3962,14.8430,5564.0000,5810.0000,6296.0000,True,False,
10920086,5841,1,3.2131930,0.0000056,54965.143665,0.008132,0.0002,-1.0000,0.0117,-1.0000,1.0000,0.37,291.8521,48.3196,80.2450,14.3625,12.5200,6478.0000,6724.0000,6649.0000,True,False,
10936427,-1,1,14.3610225,0.0000492,54971.842189,0.076277,0.4370,0.1686,0.0313,0.0347,0.5014,0.25,298.3438,48.3359,82.2695,10.5269,14.4190,5082.0000,5333.0000,5450.0000,False,True,
10989032,-1,1,2.3050976,0.0000035,54966.704728,0.013191,0.0095,0.0043,0.0250,0.0339,0.4991,0.53,297.3935,48.4108,82.0253,11.1156,13.8660,8620.0000,-9999.0000,-9999.0000,False,False,
11021252,6084,1,3.2691918,0.0000058,54966.255394,0.018126,0.0585,-1.0000,0.0303,-1.0000,1.0000,0.22,287.3561,48.5431,79.2320,17.1903,14.9660,6165.0000,6388.0000,5936.0000,True,False,
11147276,-1,1,3.1330583,0.0000055,54967.102845,0.020566,0.1126,0.0680,0.0381,0.0351,0.4995,0.31,296.1421,48.7021,81.8887,11.9833,13.9840,5656.0000,5918.0000,5989.0000,False,False,
11182260,-1,1,1.2919720,0.0000015,54954.006460,0.013110,0.0213,-1.0000,0.0603,-1.0000,1.0000,0.45,287.2607,48.8465,79.5029,17.3609,13.2380,4842.0000,5096.0000,5025.0000,False,False,
11200773,-1,1,2.4895516,0.0000039,54965.043382,0.018361,0.0214,0.0022,0.0417,0.0469,0.4997,0.31,296.4774,48.8537,82.1310,11.8586,13.6690,5780.0000,6088.0000,5934.0000,False,False,
11285625,-1,1,10.7904443,0.0000322,54975.334510,0.047294,0.1157,0.0890,0.0251,0.0245,0.4996,0.23,285.2162,49.0895,79.2386,18.7015,10.1430,6882.0000,7224.0000,6919.0000,False,True,
11350389,-1,1,1.5126440,0.0000019,54965.025108,0.012391,0.0257,-1.0000,0.0459,-1.0000,1.0000,0.41,291.8429,49.1191,80.9924,14.7028,15.7240,5124.0000,5257.0000,4958.0000,False,False,
11358392,-1,1,0.9849768,0.0000010,54954.564943,0.011536,0.0064,-1.0000,0.0653,-1.0000,1.0000,0.44,295.6277,49.1782,82.1615,12.5027,13.5480,6195.0000,6437.0000,6625.0000,False,False,
11519134,3419,1,58.5849864,0.0003488,54973.799106,0.022862,0.0700,-1.0000,0.0023,-1.0000,1.0000,0.01,297.0396,49.4691,82.8626,11.8232,13.0610,6130.0000,6386.0000,6249.0000,True,False,
11656840,774,1,7.4426597,0.0000191,54965.757383,0.019026,0.0259,-1.0000,0.0142,-1.0000,1.0000,0.10,288.9868,49.7337,80.8050,16.6510,15.2700,5873.0000,6129.0000,5742.0000,True,True,
11820830,1728,1,12.7318697,0.0000409,54959.000362,0.027717,0.0114,-1.0000,0.0113,-1.0000,1.0000,0.08,295.2166,50.0843,82.8654,13.1515,12.0870,7007.0000,7249.0000,7103.0000,True,False,
12170648,2875,1,0.5993860,0.0000005,54965.025028,0.008729,0.0003,-1.0000,0.0800,-1.0000,1.0000,0.52,296.9638,50.7454,83.9917,12.4657,14.8280,5000.0000,5159.0000,5127.0000,True,False,
12367464,6250,1,1.8532087,0.0000025,54954.129939,0.012147,0.0121,-1.0000,0.0354,-1.0000,1.0000,0.28,296.4144,51.1620,84.2055,12.9656,13.0850,-1.0000,-1.0000,-1.0000,True,False,
12506351,1446,1,2.4555173,0.0000038,54955.736173,0.017580,0.0533,0.0366,0.0435,0.0425,0.5004,0.37,289.0500,51.4184,82.4501,17.2537,13.1840,5949.0000,6205.0000,5901.0000,True,False,
